,name,year,category
0,Blanche,1975,1
1,Caroline,1975,3
2,Doris,1975,2
3,Eloise,1975,3
4,Faye,1975,2
5,Gladys,1975,4
6,Belle,1976,3
7,Candice,1976,1
8,Emmy,1976,2
9,Frances,1976,3
10,Gloria,1976,2
11,Holly,1976,1
12,Anita,1977,5
13,Babe,1977,1
14,Clara,1977,1
15,Dorothy,1977,1
16,Evelyn,1977,1
17,Cora,1978,1
18,Ella,1978,4
19,Flossie,1978,2
20,Greta,1978,4
21,Kendra,1978,1
22,Bob,1979,1
23,David,1979,5
24,Frederic,1979,4
25,Gloria,1979,2
26,Henri,1979,1
27,Allen,1980,5
28,Bonnie,1980,2
29,Charley,1980,1
30,Georges,1980,1
31,Earl,1980,1
32,Frances,1980,3
33,Ivan,1980,2
34,Jeanne,1980,2
35,Karl,1980,1
36,Dennis,1981,1
37,Emily,1981,1
38,Floyd,1981,3
39,Gert,1981,2
40,Harvey,1981,4
41,Irene,1981,3
42,Katrina,1981,1
43,Alberto,1982,1
44,Debby,1982,4
45,Alicia,1983,3
46,Barry,1983,1
47,Chantal,1983,1
48,Diana,1984,4
49,Hortense,1984,1
50,Josephine,1984,2
51,Klaus,1984,1
52,Lili,1984,1
53,Bob,1985,1
54,Claudette,1985,1
55,Danny,1985,1
56,Elena,1985,3
57,Gloria,1985,4
58,Juan,1985,1
59,Kate,1985,3
60,Bonnie,1986,1
61,Charley,1986,1
62,Earl,1986,2
63,Frances,1986,1
64,Arlene,1987,1
65,Emily,1987,3
66,Floyd,1987,1
67,Debby,1988,1
68,Florence,1988,1
69,Gilbert,1988,5
70,Helene,1988,4
71,Joan,1988,4
72,Chantal,1989,1
73,Dean,1989,2
74,Erin,1989,2
75,Felix,1989,1
76,Gabrielle,1989,4
77,Hugo,1989,5
78,Jerry,1989,1
79,Bertha,1990,1
80,Diana,1990,2
81,Gustav,1990,3
82,Isidore,1990,2
83,Josephine,1990,1
84,Klaus,1990,1
85,Lili,1990,1
86,Nana,1990,1
87,Bob,1991,3
88,Claudette,1991,4
89,Grace,1991,2
90,AL121991,1991,1
91,Andrew,1992,5
92,Bonnie,1992,2
